,0,1,2,3
38,Draft Budget Estimates,2023/24,Final Draft Budget Estimates FY 2023-24 _ Volume 1.pdf,https://budget.finance.go.ug/sites/default/files/National%20Budget%20docs/Final%20Draft%20Budget%20Estimates%20FY%202023-24%20_%20Volume%201.pdf
39,Laws and Regulations,2023/24,Certificate of Gender and Equity Compliance  1.pdf,https://budget.finance.go.ug/sites/default/files/Certificate%20of%20Gender%20and%20Equity%20Compliance%20%201.pdf
40,Laws and Regulations,2023/24,Certificate of Gender and Equity Compliance  1.pdf,https://budget.finance.go.ug/sites/default/files/Certificate%20of%20Gender%20and%20Equity%20Compliance%20%201.pdf
41,Laws and Regulations,2023/24,Certificate of Gender and Equity Compliance  1.pdf,https://budget.finance.go.ug/sites/default/files/Certificate%20of%20Gender%20and%20Equity%20Compliance%20%201.pdf
42,Laws and Regulations,2023/24,Certificate of Gender and Equity Compliance  1.pdf,https://budget.finance.go.ug/sites/default/files/Certificate%20of%20Gender%20and%20Equity%20Compliance%20%201.pdf
43,Local Government  Budget Framework Papers,2023/24,Arua City.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Arua%20City_6.pdf
44,Local Government  Budget Framework Papers,2023/24,Fortportal City.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Fortportal%20City_2.pdf
45,Local Government  Budget Framework Papers,2023/24,Bugiri Mc.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Bugiri%20Mc_1.pdf
46,Local Government  Budget Framework Papers,2023/24,Bushenyi-Ishaka Mc.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Bushenyi-Ishaka%20Mc_0.pdf
47,Local Government  Budget Framework Papers,2023/24,Busia Mc.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Busia%20Mc_2.pdf
48,Local Government  Budget Framework Papers,2023/24,Entebbe Mc.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Entebbe%20Mc_2.pdf
49,Local Government  Budget Framework Papers,2023/24,Hoima City.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Hoima%20City_4.pdf
50,Local Government  Budget Framework Papers,2023/24,Gulu City.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Gulu%20City_4.pdf
51,Local Government  Budget Framework Papers,2023/24,Ibanda Mc.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Ibanda%20Mc_2.pdf
52,Local Government  Budget Framework Papers,2023/24,Iganag Mc.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Iganag%20Mc.pdf
53,Local Government  Budget Framework Papers,2023/24,Jinja City.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Jinja%20City_3.pdf
54,Local Government  Budget Framework Papers,2023/24,Kabale Mc.pdf,https://budget.finance.go.ug/sites/default/files/Indivisual%20LG%20Budgets/Kabale%20Mc_1.pdf
